,nameNodeOr,nameNodeEx,Quadripole
0,node_468,node_4202,line_15
1,node_468,node_4856,line_16
2,node_5491,node_1665,line_189
3,node_5491,node_3250,line_190
4,node_4997,node_3766,line_297
5,node_4997,node_3766,line_298
6,node_4997,node_2125,line_299
7,node_4997,node_3627,line_300
8,node_4997,node_3306,line_301
9,node_4997,node_3209,line_302
10,node_2048,node_4825,line_317
11,node_701,node_4825,line_318
12,node_4596,node_490,line_398
13,node_4596,node_490,line_399
14,node_4596,node_5437,line_401
15,node_3766,node_3905,line_506
16,node_3766,node_1885,line_507
17,node_3766,node_2156,line_508
18,node_3766,node_2156,line_509
19,node_3766,node_123,line_510
20,node_3766,node_123,line_511
21,node_4363,node_4930,line_512
22,node_4363,node_3384,line_513
23,node_4363,node_2136,line_514
24,node_4363,node_1758,line_515
25,node_497,node_532,line_547
26,node_497,node_4575,line_548
27,node_497,node_4575,line_549
28,node_4575,node_79,line_553
29,node_4575,node_4354,line_554
30,node_3659,node_3605,line_656
31,node_3659,node_4142,line_657
32,node_3659,node_1141,line_672
33,node_3659,node_3501,line_673
34,node_906,node_1665,line_731
35,node_906,node_5578,line_732
36,node_4154,node_2974,line_809
37,node_4154,node_3164,line_810
38,node_2757,node_4762,line_748
39,node_2757,node_1803,line_749
40,node_2757,node_602,line_750
41,node_2757,node_250,line_751
42,node_2757,node_1483,line_752
43,node_3275,node_1873,line_823
44,node_3275,node_4361,line_824
45,node_3275,node_2165,line_825
46,node_3275,node_5085,line_826
47,node_5002,node_4916,line_827
48,node_5002,node_3474,line_828
49,node_5002,node_3250,line_829
50,node_5002,node_1598,line_830
51,node_5002,node_446,line_831
52,node_5002,node_3275,line_832
53,node_34,node_1825,line_872
54,node_1116,node_1762,line_873
55,node_1116,node_2136,line_874
56,node_1116,node_34,line_875
57,node_1116,node_34,line_877
58,node_1116,node_2233,line_882
59,node_1116,node_2148,line_883
60,node_511,node_5205,line_901
61,node_511,node_1627,line_905
62,node_3115,node_3905,line_1016
63,node_3115,node_1442,line_1017
64,node_3115,node_1885,line_1018
65,node_3115,node_2986,line_1019
66,node_97,node_2959,line_1050
67,node_97,node_4002,line_1051
68,node_1200,node_4096,line_1115
69,node_1200,node_545,line_1116
70,node_2240,node_2156,line_1117
71,node_2240,node_2105,line_1118
72,node_2240,node_1200,line_1119
73,node_2168,node_654,line_1176
74,node_2168,node_864,line_1177
75,node_2168,node_4937,line_1178
76,node_2168,node_2957,line_1179
77,node_3530,node_4145,line_1212
78,node_3530,node_4145,line_1213
79,node_3530,node_5539,line_1214
80,node_3530,node_2882,line_1215
81,node_1762,node_864,line_1216
82,node_1762,node_3530,line_1218
83,node_2449,node_1002,line_1219
84,node_2449,node_4725,line_1221
85,node_2970,node_654,line_1383
86,node_2970,node_4068,line_1384
87,node_2970,node_4002,line_1385
88,node_2970,node_4002,line_1386
89,node_153,node_4539,line_1440
90,node_153,node_433,line_1441
91,node_4044,node_5539,line_1445
92,node_4044,node_5205,line_1446
93,node_4762,node_1195,line_1499
94,node_4762,node_5290,line_1500
95,node_4762,node_4244,line_1501
96,node_4762,node_1803,line_1502
97,node_4762,node_250,line_1503
98,node_1160,node_2332,line_1504
99,node_1160,node_2951,line_1505
100,node_654,node_2136,line_1532
101,node_654,node_4068,line_1533
102,node_4551,node_3673,line_1626
103,node_4551,node_4987,line_1627
104,node_4551,node_2435,line_1628
105,node_4551,node_592,line_1629
106,node_532,node_4202,line_1641
107,node_532,node_4202,line_1642
108,node_3032,node_5514,line_1670
109,node_3032,node_4255,line_1671
110,node_1195,node_4493,line_1681
111,node_219,node_2000,line_1688
112,node_219,node_2000,line_1689
113,node_219,node_4122,line_1690
114,node_4145,node_3786,line_2040
115,node_4145,node_3786,line_2041
116,node_1805,node_279,line_2534
117,node_1805,node_2111,line_2535
118,node_1805,node_3503,line_2536
119,node_4000,node_5290,line_1830
120,node_4000,node_3265,line_1831
121,node_3367,node_3684,line_1849
122,node_3928,node_5436,line_1959
123,node_3928,node_5521,line_1960
124,node_3928,node_1857,line_1961
125,node_3786,node_1055,line_2204
126,node_3786,node_5539,line_2205
127,node_3786,node_1253,line_2206
128,node_3786,node_1253,line_2207
129,node_3786,node_1253,line_2208
130,node_1385,node_1585,line_2209
131,node_1585,node_3786,line_2213
132,node_1385,node_176,line_2210
133,node_5533,node_3164,line_2315
134,node_5533,node_5205,line_2316
135,node_5436,node_3003,line_2408
136,node_1433,node_4994,line_2686
137,node_1433,node_947,line_2687
138,node_1433,node_549,line_2688
139,node_1110,node_3673,line_2831
140,node_1110,node_4202,line_2832
141,node_121,node_2974,line_2885
142,node_121,node_3164,line_2886
143,node_2226,node_3620,line_3014
144,node_2226,node_68,line_3015
145,node_2226,node_68,line_3016
146,node_2334,node_2171,line_3049
147,node_2334,node_2841,line_3050
148,node_3673,node_4598,line_3123
149,node_3673,node_4987,line_3124
150,node_3673,node_4515,line_3125
151,node_3559,node_584,line_3161
152,node_3964,node_584,line_3162
153,node_3559,node_4995,line_3163
154,node_3964,node_4995,line_3164
155,node_1498,node_2335,line_3234
156,node_524,node_1782,line_3235
157,node_1507,node_1782,line_3236
158,node_524,node_896,line_3237
159,node_1507,node_1936,line_3238
160,node_524,node_1936,line_3239
161,node_524,node_780,line_3240
162,node_1507,node_1498,line_3241
163,node_524,node_5514,line_3242
164,node_5557,node_2877,line_3279
165,node_5557,node_2534,line_3280
166,node_5557,node_4555,line_3281
167,node_5566,node_2376,line_3282
168,node_5566,node_185,line_3283
169,node_5566,node_185,line_3284
170,node_5566,node_2867,line_3285
171,node_2332,node_304,line_3340
172,node_2332,node_304,line_3341
173,node_2332,node_3604,line_3342
174,node_3726,node_5381,line_3343
175,node_3726,node_5381,line_3344
176,node_3726,node_5381,line_3345
177,node_3726,node_1645,line_3346
178,node_3726,node_3605,line_3347
179,node_304,node_5268,line_3348
180,node_304,node_5268,line_3349
181,node_5616,node_1904,line_3532
182,node_2754,node_1493,line_3533
183,node_5616,node_5208,line_3534
184,node_2754,node_4255,line_3535
185,node_1782,node_3384,line_3536
